EndStation Name,July 5th,August 2nd,July 12th,July 26th,Average Count,July 19th(Heatwave day),Latitude,Longitude
"Crisp Road, Hammersmith",50.0,53.0,59.0,59.0,55.25,42.0,51.488108,-0.226606
"Cromer Street, Bloomsbury",24.0,25.0,26.0,25.0,25.0,32.0,51.528279,-0.119558
"Crosswall, Tower",159.0,153.0,148.0,135.0,148.75,98.0,51.511594,-0.077121
"Culvert Road, Battersea",22.0,29.0,24.0,22.0,24.25,21.0,51.471095,-0.15785
"Curlew Street, Shad Thames",81.0,82.0,78.0,67.0,77.0,29.0,51.502279,-0.074189
"Curzon Street, Mayfair",58.0,55.0,58.0,54.0,56.25,50.0,51.507069,-0.145904
"Danvers Street, West Chelsea",24.0,47.0,38.0,38.0,36.75,44.0,51.482567,-0.172078
"De Vere Gardens, Kensington",41.0,36.0,41.0,52.0,42.5,43.0,51.501737,-0.18498
"Denyer Street, Knightsbridge",19.0,14.0,20.0,9.0,15.5,16.0,51.493583,-0.165101
"Derry Street, Kensington",118.0,87.0,127.0,123.0,113.75,102.0,51.501364,-0.191462
"Devons Road, Bow",25.0,27.0,28.0,18.0,24.5,26.0,51.52512,-0.015578
"Devonshire Square, Liverpool Street",42.0,42.0,42.0,37.0,40.75,50.0,51.516468,-0.079684
"Devonshire Terrace, Bayswater",30.0,67.0,40.0,71.0,52.0,61.0,51.51348,-0.17977
"Dickens Square, Borough",19.0,20.0,21.0,23.0,20.75,24.0,51.496791,-0.093913
"Disraeli Road, Putney",16.0,27.0,28.0,17.0,22.0,22.0,51.46161,-0.216145
"Dock Street, Wapping",76.0,91.0,69.0,75.0,77.75,73.0,51.509786,-0.068161
"Doddington Grove, Kennington",60.0,42.0,61.0,59.0,55.5,53.0,51.486929,-0.102996
"Doric Way , Somers Town",78.0,72.0,55.0,61.0,66.5,33.0,51.528833,-0.13225
"Dorothy Road, Clapham Junction",29.0,39.0,41.0,41.0,37.5,39.0,51.465064,-0.16375
"Dorset Square, Marylebone",75.0,79.0,74.0,23.0,62.75,54.0,51.522596,-0.161113
"Drayton Gardens, West Chelsea",95.0,88.0,100.0,87.0,92.5,69.0,51.487196,-0.179369
"Driffield Road, Old Ford",49.0,40.0,60.0,33.0,45.5,37.0,51.534137,-0.037366
"Drummond Street , Euston",24.0,22.0,30.0,23.0,24.75,7.0,51.527326,-0.136052
"Drury Lane, Covent Garden",110.0,108.0,88.0,96.0,100.5,77.0,51.51477,-0.122219
"Duke Street Hill, London Bridge",223.0,198.0,153.0,187.0,190.25,166.0,51.506304,-0.087262
"Dunston Road , Haggerston",65.0,71.0,80.0,70.0,71.5,67.0,51.536585,-0.075885
"Durant Street, Bethnal Green",33.0,38.0,38.0,41.0,37.5,37.0,51.528681,-0.06555
"Eagle Wharf Road, Hoxton",85.0,97.0,93.0,89.0,91.0,78.0,51.53356,-0.09315
