StartStation Name,July 5th,August 2nd,July 12th,July 26th,Average Count,July 19th(Heatwave day),Latitude,Longitude
"Buxton Street 1, Shoreditch",28.0,18.0,13.0,15.0,18.5,24.0,51.521776,-0.068856
"Cadogan Close, Victoria Park",44.0,42.0,65.0,44.0,48.75,31.0,51.542118,-0.028941
"Cadogan Gardens, Chelsea",89.0,55.0,65.0,65.0,68.5,48.0,51.492462,-0.159919
"Cadogan Place, Knightsbridge",31.0,34.0,57.0,39.0,40.25,52.0,51.494645,-0.158105
"Caldwell Street, Stockwell",50.0,51.0,64.0,45.0,52.5,47.0,51.477839,-0.116493
"Calshot Street , King's Cross",25.0,26.0,16.0,19.0,21.5,14.0,51.53136,-0.117069
"Campden Hill Road, Notting Hill",12.0,18.0,22.0,13.0,16.25,17.0,51.506584,-0.199004
"Canada Water Station, Rotherhithe",48.0,41.0,54.0,45.0,47.0,48.0,51.498439,-0.04915
"Canton Street, Poplar",31.0,11.0,29.0,,23.666666666666668,37.0,51.511811,-0.025626
"Cantrell Road, Bow",21.0,22.0,26.0,17.0,21.5,22.0,51.521564,-0.022694
"Carey Street, Holborn",23.0,31.0,27.0,23.0,26.0,20.0,51.51501,-0.112753
"Carnegie Street, King's Cross",34.0,30.0,27.0,36.0,31.75,32.0,51.535467,-0.116191
"Cartwright Gardens , Bloomsbury",38.0,24.0,19.0,47.0,32.0,33.0,51.526357,-0.125979
"Castlehaven Road, Camden Town",81.0,85.0,78.0,64.0,77.0,56.0,51.542138,-0.145393
"Central House, Aldgate",104.0,57.0,76.0,62.0,74.75,49.0,51.515231,-0.07015
"Cephas Street, Bethnal Green",33.0,46.0,29.0,33.0,35.25,47.0,51.522561,-0.054883
"Chadwell Street, Angel",59.0,52.0,63.0,61.0,58.75,52.0,51.530515,-0.106408
"Chancery Lane, Holborn",30.0,35.0,41.0,27.0,33.25,23.0,51.514274,-0.111257
"Chapel Place, Marylebone",69.0,60.0,57.0,55.0,60.25,51.0,51.515308,-0.147203
"Charing Cross Hospital, Hammersmith",32.0,40.0,35.0,30.0,34.25,31.0,51.487285,-0.217995
"Charlbert Street, St. John's Wood",33.0,30.0,33.0,35.0,32.75,34.0,51.5343,-0.168074
"Charles II Street, West End",84.0,61.0,54.0,48.0,61.75,62.0,51.508446,-0.131961
"Charlotte Street, Fitzrovia",49.0,44.0,55.0,52.0,50.0,49.0,51.51953,-0.135777
"Charlotte Terrace, Angel",26.0,19.0,41.0,33.0,29.75,25.0,51.536392,-0.112721
"Cheapside, Bank",173.0,155.0,149.0,114.0,147.75,92.0,51.51397,-0.09294
"Chelsea Bridge, Pimlico",83.0,72.0,57.0,47.0,64.75,51.0,51.485821,-0.149004
"Chelsea Green, Chelsea",45.0,63.0,65.0,47.0,55.0,44.0,51.490664,-0.166485
"Chepstow Villas, Notting Hill",48.0,36.0,32.0,20.0,34.0,24.0,51.512136,-0.201554
"Cheshire Street, Bethnal Green",27.0,29.0,39.0,34.0,32.25,41.0,51.52388,-0.065076
"Chesilton Road, Fulham",53.0,50.0,42.0,39.0,46.0,45.0,51.475698,-0.205876
"Chrisp Street Market, Poplar",28.0,36.0,37.0,17.0,29.5,31.0,51.5112,-0.014438
"Christopher Street, Liverpool Street",50.0,48.0,47.0,52.0,49.25,38.0,51.521283,-0.084605
"City Road, Angel",61.0,47.0,53.0,55.0,54.0,45.0,51.530344,-0.100168
"Clapham Common North Side, Clapham Common",32.0,39.0,28.0,38.0,34.25,20.0,51.461343,-0.159322
"Clapham Common Station, Clapham Common",80.0,88.0,98.0,79.0,86.25,71.0,51.461388,-0.139221
"Clapham Road, Lingham Street, Stockwell",24.0,20.0,22.0,16.0,20.5,29.0,51.471433,-0.12367
"Claremont Square, Angel",34.0,29.0,39.0,42.0,36.0,25.0,51.531666,-0.109914
"Clarence Walk, Stockwell",19.0,13.0,28.0,17.0,19.25,29.0,51.470732,-0.126994
"Clarendon Road, Avondale",16.0,7.0,24.0,16.0,15.75,14.0,51.51323,-0.211593
"Clarges Street, Mayfair",16.0,17.0,28.0,24.0,21.25,15.0,51.507326,-0.145827
"Clarkson Street, Bethnal Green",26.0,23.0,31.0,30.0,27.5,25.0,51.528692,-0.059091
"Claverton Street, Pimlico",50.0,57.0,48.0,39.0,48.5,76.0,51.484839,-0.138089
"Cleaver Street, Kennington",27.0,18.0,30.0,26.0,25.25,29.0,51.488105,-0.110121
"Clerkenwell Green, Clerkenwell",82.0,83.0,89.0,79.0,83.25,58.0,51.52326,-0.104708
