EndStation Name,Average Count,Count,Count Change,Latitude,Longitude
"Esmond Street, Putney",10,5,-5,51.462312,-0.211468
"Ethelburga Estate, Battersea Park",102,74,-28,51.477292,-0.164786
"Euston Road, Euston",46.5,13,-33.5,51.526236,-0.134407
"Euston Square Gardens, Euston",24.5,14,-10.5,51.527068,-0.131861
"Everington Street, Fulham",34,22,-12,51.483356,-0.216305
"Eversholt Street , Camden Town",25.75,26,0.25,51.533005,-0.136792
"Evesham Street, Avondale",14.5,16,1.5,51.511486,-0.21819
"Exhibition Road Museums 1, South Kensington",49.5,48,-1.5,51.496468,-0.173796
"Exhibition Road Museums 2, South Kensington",54.25,43,-11.25,51.495947,-0.173689
"Exhibition Road, Knightsbridge",137.25,115,-22.25,51.499917,-0.174554
"Falcon Road, Clapham Junction",94.75,78,-16.75,51.466633,-0.169821
"Falkirk Street, Hoxton",38.25,37,-1.25,51.53095,-0.078505
"Fanshaw Street, Hoxton",54.5,52,-2.5,51.529537,-0.083353
"Farm Street, Mayfair",35,33,-2,51.509351,-0.147449
"Farringdon Lane, Clerkenwell",45.75,41,-4.75,51.52352,-0.10834
"Farringdon Street, Holborn",43.25,37,-6.25,51.516785,-0.104947
"Fashion Street, Whitechapel",48.75,25,-23.75,51.51838,-0.073438
"Fawcett Close, Battersea",21,19,-2,51.469161,-0.174485
"Felsham Road, Putney",20.5,32,11.5,51.464786,-0.215618
"Ferndale Road, Brixton",63.5,84,20.5,51.464019,-0.115781
"Finlay Street, Fulham",36,28,-8,51.476885,-0.215895
"Finnis Street, Bethnal Green",26.75,24,-2.75,51.524583,-0.058631
"Finsbury Circus, Liverpool Street",139,106,-33,51.517075,-0.086685
"Finsbury Leisure Centre, St. Luke's",82.5,68,-14.5,51.526008,-0.096317
"Finsbury Library , Finsbury",21.5,20,-1.5,51.526717,-0.104298
"Finsbury Square , Moorgate",67.25,57,-10.25,51.520962,-0.085634
"Fire Brigade Pier, Vauxhall",52.5,49,-3.5,51.493699,-0.121394
"Fisherman's Walk West, Canary Wharf",45.75,41,-4.75,51.50623,-0.02296
"Flamborough Street, Limehouse",74.25,69,-5.25,51.512871,-0.038986
"Flood Street, Chelsea",90.75,74,-16.75,51.488023,-0.166878
"Foley Street, Fitzrovia",56,47,-9,51.519181,-0.140485
"Ford Road, Old Ford",33.5,40,6.5,51.532513,-0.033085
"Fore Street Avenue, Guildhall",56.75,35,-21.75,51.518093,-0.091401
"Fore Street, Guildhall",34.5,28,-6.5,51.517842,-0.090075
"Fournier Street, Whitechapel",60,52,-8,51.519362,-0.074431
"Frampton Street, Paddington",29.25,19,-10.25,51.523353,-0.175116
"Freston Road, Avondale",18.75,13,-5.75,51.512981,-0.219486
"Frith Street, Soho",75.75,61,-14.75,51.513103,-0.131213
"Fulham Broadway, Walham Green",115,106,-9,51.479932,-0.194116
"Fulham Park Road, Fulham",36,25,-11,51.473471,-0.20782
"Furze Green, Bow",44.75,42,-2.75,51.519265,-0.021345
"Garnet Street, Shadwell",40.25,47,6.75,51.508447,-0.055167
"Gas Holders, Battersea Park",119,83,-36,51.477966,-0.147857
"Gascoyne Road, Victoria Park",48.5,45,-3.5,51.541515,-0.038557
"Gauden Road, Clapham",54,47,-7,51.464995,-0.130908
"Gaywood  Street, Elephant & Castle",39.5,42,2.5,51.49605,-0.104193
"George Place Mews, Marylebone",49.25,39,-10.25,51.516892,-0.158249
"George Row, Bermondsey",43,57,14,51.498585,-0.068981
"George Street, Marylebone",56,43,-13,51.517703,-0.154106
"Geraldine Street, Elephant & Castle",13.25,14,0.75,51.496127,-0.106
"Globe Town Market, Bethnal Green",45.5,45,-0.5,51.528869,-0.047548
"Gloucester Avenue, Camden Town",39.25,18,-21.25,51.537349,-0.147154
"Gloucester Road (Central), South Kensington",42.75,31,-11.75,51.496462,-0.183289
"Gloucester Road (North), Kensington",59,56,-3,51.497924,-0.183834
"Gloucester Road Station, South Kensington",94.5,84,-10.5,51.494185,-0.18267
"Gloucester Street, Pimlico",54,63,9,51.490962,-0.139625
"Gloucester Terrace, Bayswater",37.25,34,-3.25,51.517919,-0.188098
"Godliman Street, St. Paul's",71.5,53,-18.5,51.512484,-0.099141
"Golden Lane, Barbican",61.25,51,-10.25,51.521747,-0.094475
"Golden Square, Soho",82.75,71,-11.75,51.511897,-0.137043
"Goldsmith's Row, Haggerston",56,55,-1,51.531864,-0.066035
"Good's Way, King's Cross",93.25,73,-20.25,51.534667,-0.125078
"Goswell Road (City Uni), Finsbury",24.25,17,-7.25,51.528246,-0.101026
"Grafton Street, Mayfair",42.25,30,-12.25,51.509992,-0.143495
"Graham Street, Angel",50,60,10,51.532661,-0.099981
"Granby Street, Shoreditch",64,58,-6,51.525645,-0.069543
"Grant Road East, Clapham Junction",49,30,-19,51.464894,-0.173029
"Great Dover Street, The Borough",57,48,-9,51.497382,-0.089446
"Great Percy Street, Clerkenwell",35.75,30,-5.75,51.528915,-0.11548
"Great Russell Street, Bloomsbury",63.5,60,-3.5,51.517727,-0.127854
"Great Suffolk Street, The Borough",37,25,-12,51.501732,-0.100292
"Great Titchfield Street, Fitzrovia",48.75,44,-4.75,51.520253,-0.141327
"Great Tower Street, Monument",119.5,97,-22.5,51.510484,-0.082989
"Green Park Station, Mayfair",137.25,124,-13.25,51.506613,-0.142844
"Green Street, Mayfair",97.75,64,-33.75,51.512276,-0.157436
"Greenberry Street, St.John's Wood",14.25,9,-5.25,51.53256,-0.16862
"Greenland Road, Camden Town",68,39,-29,51.539099,-0.141728
"Grenfell Road, Avondale",20.5,18,-2.5,51.5129,-0.214762
"Greycoat Street , Westminster",15.75,14,-1.75,51.494591,-0.134234
"Greyhound Road, Hammersmith",45.75,49,3.25,51.486062,-0.214428
"Grosvenor Crescent, Belgravia",9.5,10,0.5,51.501352,-0.153194
"Grosvenor Road, Pimlico",33,44,11,51.485357,-0.142207
"Grosvenor Square, Mayfair",98.5,84,-14.5,51.51217,-0.150481
"Grove End Road, St. John's Wood",37,26,-11,51.530889,-0.17677
