StartStation Name,Average Count,Count,Count Change,Latitude,Longitude
"East Village, Queen Elizabeth Olympic Park",57,46,-11,51.546326,-0.009935
"Eastbourne Mews, Paddington",86.5,60,-26.5,51.516417,-0.179135
"Eaton Square (South), Belgravia",35.75,30,-5.75,51.494561,-0.153933
"Eaton Square, Belgravia",37,20,-17,51.496544,-0.150905
"Ebury Bridge, Pimlico",37.75,35,-2.75,51.490491,-0.149186
"Eccleston Place, Victoria",114,84,-30,51.49395,-0.147624
"Edgware Road Station, Marylebone",54.5,31,-23.5,51.519968,-0.169774
"Eel Brook Common, Walham Green",31.75,25,-6.75,51.476259,-0.193254
"Elizabeth Bridge, Victoria",55.5,70,14.5,51.492369,-0.147478
"Elysium Place, Fulham",18.5,26,7.5,51.471079,-0.207842
"Embankment (Savoy), Strand",52.75,36,-16.75,51.509631,-0.119047
"Emperor's Gate, South Kensington",39,48,9,51.495362,-0.185296
"Empire Square, The Borough",74,60,-14,51.500823,-0.08974
"Endsleigh Gardens, Euston",90.75,39,-51.75,51.526838,-0.130504
"Erin Close, Walham Green",66.25,44,-22.25,51.479463,-0.195777
"Esmond Street, Putney",9.75,2,-7.75,51.462312,-0.211468
"Ethelburga Estate, Battersea Park",106,70,-36,51.477292,-0.164786
"Euston Road, Euston",48.75,14,-34.75,51.526236,-0.134407
"Euston Square Gardens, Euston",22.5,14,-8.5,51.527068,-0.131861
"Everington Street, Fulham",34.75,23,-11.75,51.483356,-0.216305
"Eversholt Street , Camden Town",22.75,27,4.25,51.533005,-0.136792
"Evesham Street, Avondale",12.75,17,4.25,51.511486,-0.21819
"Exhibition Road Museums 1, South Kensington",48.5,46,-2.5,51.496468,-0.173796
"Exhibition Road Museums 2, South Kensington",54,34,-20,51.495947,-0.173689
"Exhibition Road, Knightsbridge",125.25,111,-14.25,51.499917,-0.174554
"Falcon Road, Clapham Junction",93,66,-27,51.466633,-0.169821
"Falkirk Street, Hoxton",43.75,33,-10.75,51.53095,-0.078505
"Fanshaw Street, Hoxton",76,75,-1,51.529537,-0.083353
"Farm Street, Mayfair",34.25,25,-9.25,51.509351,-0.147449
"Farringdon Lane, Clerkenwell",43.75,38,-5.75,51.52352,-0.10834
"Farringdon Street, Holborn",43.25,39,-4.25,51.516785,-0.104947
"Fashion Street, Whitechapel",48.25,26,-22.25,51.51838,-0.073438
"Fawcett Close, Battersea",23.25,19,-4.25,51.469161,-0.174485
"Felsham Road, Putney",19.5,28,8.5,51.464786,-0.215618
"Ferndale Road, Brixton",58.75,69,10.25,51.464019,-0.115781
"Finlay Street, Fulham",32.25,32,-0.25,51.476885,-0.215895
"Finnis Street, Bethnal Green",28.75,25,-3.75,51.524583,-0.058631
"Finsbury Circus, Liverpool Street",133.5,88,-45.5,51.517075,-0.086685
